year,horizon,start_date,end_date,avg_high,avg_low,avg_high_dev,avg_low_dev,total_rain,normal_total_rain,rain_excess,rainy_days,normal_rainy_days,wettest_2day,wettest_3day,wettest_5day,concentrated_rain_share,dry_streak,wet_streak,hot_streak,cool_streak,warm_night_streak,cool_night_streak,ante_dry,ante_wet,record_days,max_high_dev,min_high_dev,max_low_dev,min_low_dev,rain_ratio,month_label,season
2000,7,2000-01-01,2000-01-07,26.09285714285714,15.737142857142857,-0.0856390977443608,0.48624060150375903,0.17,1.1663157894736842,-0.9963157894736842,1,5,0.14,0.14,0.14,0.823529411764706,5,1,0,0,0,0,10,0,0,1.0721052631578942,-1.0942105263157877,1.4547368421052624,-0.9778947368421065,0.14575812274368233,Jan,winter
2000,7,2000-01-02,2000-01-08,26.248571428571427,15.87,-0.05082706766917253,0.6376691729323305,0.18000000000000002,0.9657894736842104,-0.7857894736842104,1,4,0.14,0.18000000000000002,0.18000000000000002,1,4,1,0,0,0,0,10,0,0,1.0721052631578942,-1.0942105263157877,1.4547368421052624,0.08210526315789402,0.18637602179836515,Jan,winter
2000,7,2000-01-03,2000-01-09,26.57,15.907142857142857,0.2033834586466169,0.6223308270676687,0.19000000000000003,0.7968421052631578,-0.6068421052631577,1,3,0.14,0.18000000000000002,0.19000000000000003,0.9473684210526315,3,1,0,0,0,0,10,0,0,1.0721052631578942,-0.8947368421052637,1.4547368421052624,-0.0031578947368426924,0.23844121532364604,Jan,winter
2000,7,2000-01-04,2000-01-10,26.65714285714286,16.19142857142857,0.23842105263157976,0.8327067669172931,1.9500000000000002,0.95,1.0000000000000002,2,3,1.7700000000000002,1.8100000000000003,1.9500000000000002,0.9282051282051282,3,1,0,0,0,0,10,0,0,1.0721052631578942,-0.6494736842105233,1.6526315789473696,-0.0031578947368426924,2.0526315789473686,Jan,winter
2000,7,2000-01-05,2000-01-11,26.56,16.494285714285713,0.0865413533834593,1.0772180451127817,4.25,1.1036842105263158,3.146315789473684,3,4,4.0600000000000005,4.07,4.12,0.9576470588235295,3,2,0,0,1,0,10,0,0,1.0721052631578942,-0.9652631578947357,2.106315789473685,-0.0031578947368426924,3.8507391511683355,Jan,winter
2000,7,2000-01-06,2000-01-12,26.522857142857145,16.665714285714287,-0.01766917293233004,1.1750375939849627,4.25,1.1657894736842105,3.0842105263157897,3,4,4.0600000000000005,4.07,4.12,0.9576470588235295,3,2,0,0,1,0,10,2,0,1.0721052631578942,-0.9652631578947357,2.106315789473685,-0.0031578947368426924,3.6455981941309257,Jan,winter
2000,7,2000-01-07,2000-01-13,26.73,16.83142857142857,0.15127819548872223,1.2597744360902259,4.12,1.4915789473684213,2.6284210526315785,2,4,4.0600000000000005,4.07,4.12,0.9878640776699029,3,2,1,0,1,0,4,2,0,2.015789473684208,-0.9652631578947357,2.106315789473685,-0.0031578947368426924,2.762173606210303,Jan,winter
2000,7,2000-01-08,2000-01-14,26.914285714285715,16.88,0.21082706766917317,1.2421052631578953,4.11,1.7152631578947368,2.3947368421052637,2,4,4.0600000000000005,4.07,4.11,0.9902676399026764,3,2,1,0,1,0,4,0,0,2.015789473684208,-0.9652631578947357,2.106315789473685,-0.0031578947368426924,2.3961337833691316,Jan,winter
2000,7,2000-01-09,2000-01-15,27.3,17.105714285714285,0.5945864661654134,1.368947368421053,4.07,2.338421052631579,1.7315789473684213,2,5,4.0600000000000005,4.07,4.07,1,4,2,1,0,1,0,4,0,0,2.326315789473682,-0.9652631578947357,2.106315789473685,-0.0031578947368426924,1.7404906594643261,Jan,winter
2000,7,2000-01-10,2000-01-16,27.588571428571427,17.33857142857143,0.9051127819548869,1.5309022556390983,4.0600000000000005,2.785263157894737,1.2747368421052636,2,6,4.0600000000000005,4.0600000000000005,4.0600000000000005,1,5,2,2,0,1,0,4,3,0,2.8589473684210525,-0.9652631578947357,2.106315789473685,0.9699999999999989,1.457671957671958,Jan,winter
2000,7,2000-01-11,2000-01-17,27.96857142857143,17.005714285714287,1.2328571428571422,1.1844360902255642,2.3099999999999996,3.2931578947368423,-0.9831578947368427,1,6,2.3,2.3,2.3,0.9956709956709958,6,1,2,0,1,0,0,3,0,2.8589473684210525,-0.9652631578947357,2.106315789473685,-0.7726315789473688,0.7014543711043629,Jan,winter
2000,7,2000-01-12,2000-01-18,28.384285714285713,16.564285714285713,1.573834586466165,0.7090225563909776,0.01,3.2963157894736845,-3.2863157894736847,0,6,0.01,0.01,0.01,1,7,0,2,0,0,0,8,3,0,2.8589473684210525,-0.7394736842105267,1.787894736842107,-1.221578947368421,0.003033689924956091,Jan,winter
2000,7,2000-01-13,2000-01-19,28.707142857142856,16.175714285714285,1.9114285714285708,0.25345864661654116,0.01,3.5842105263157897,-3.57421052631579,0,7,0.01,0.01,0.01,1,7,0,2,0,0,0,9,0,0,2.8589473684210525,1.421578947368424,1.7378947368421063,-1.401052631578949,0.0027900146842878117,Jan,winter
2000,7,2000-01-14,2000-01-20,28.825714285714287,15.84,1.9012781954887217,-0.12736842105263213,0.01,3.18,-3.1700000000000004,0,6,0.01,0.01,0.01,1,7,0,2,0,0,0,10,0,0,2.8589473684210525,1.421578947368424,1.331052631578947,-1.401052631578949,0.003144654088050314,Jan,winter
2000,7,2000-01-15,2000-01-21,29.11,15.554285714285713,2.0490225563909776,-0.3367669172932336,0.01,2.7663157894736843,-2.7563157894736845,0,5,0.01,0.01,0.01,1,7,0,2,0,0,0,11,0,1,2.8589473684210525,1.421578947368424,1.1305263157894743,-1.401052631578949,0.0036149162861491627,Jan,winter
